 "topicURI" , "topicLabel" , "catalog" , "subject" , "topicCount" ,
 "http://dbpedia.org/resource/Main_Page" , "Concordia University" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Conditional_probability" , "Conditional Probability" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/X86" , "DL" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Fritz_(chess)" , "Deep Fritz" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Iterative_deepening_depth-first_search" , "Depth-Limited Search" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Edmonton" , "Edmonton" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Environment_and_Climate_Change_Canada" , "Environment Canada" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Ralph_Nader" , "Essential Information" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Expert_system" , "Expert Systems" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/False_Positive_(How_I_Met_Your_Mother)" , "False Positive" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Forillon_National_Park" , "Forillon National Park" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Frank_Rosenblatt" , "Frank Rosenblatt" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Frisbee" , "Frisbee" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/GEC_Plessey_Telecommunications" , "GPT" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Graphics_processing_unit" , "GPU" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Generative_adversarial_network" , "Generative Adversarial Networks" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Grammar_checker" , "Grammar checker" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Heureka_(science_center)" , "Heureka" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Hum_TV" , "Hum" , "6721" , "COMP" , "1" ,
